,date,year,month,avail_slots,booked_slots,under91,91andover,91to107,107andover_neopnmx
134,2023-08-01,2023,8,159.0,155.0,176.0,,534.0,302.0
135,2023-09-01,2023,9,137.0,105.0,185.0,,501.0,291.0
136,2023-10-01,2023,10,146.0,139.0,185.0,,516.0,302.0
137,2023-11-01,2023,11,154.0,150.0,140.0,,422.0,221.0
138,2023-12-01,2023,12,196.0,196.0,148.0,,392.0,208.0
139,2024-01-01,2024,1,180.0,162.0,141.0,,372.0,189.0
140,2024-02-01,2024,2,161.0,143.0,132.0,,329.0,201.0
141,2024-04-01,2024,4,252.0,205.0,149.0,,418.0,222.0
142,2024-05-01,2024,5,277.0,192.0,135.0,,436.0,234.0
143,2024-06-01,2024,6,315.0,175.0,143.0,,483.0,245.0
144,2024-07-01,2024,7,354.0,171.0,154.0,,507.0,257.0
145,2024-08-01,2024,8,353.0,170.0,153.0,,524.0,280.0
146,2024-09-01,2024,9,283.0,174.0,167.0,,520.0,271.0
147,2024-10-01,2024,10,282.0,166.0,160.0,,537.0,278.0
148,2024-11-01,2024,11,257.0,167.0,178.0,,551.0,270.0
149,2024-12-01,2024,12,309.0,175.0,198.0,,582.0,279.0
150,2025-01-01,2025,1,467.0,327.0,179.0,,545.0,287.0
151,2025-02-01,2025,2,407.0,357.0,188.0,,550.0,237.0
152,2025-03-01,2025,3,401.0,384.0,215.0,,563.0,267.0
153,2025-04-01,2025,4,396.0,302.0,206.0,,525.0,290.0
154,2025-05-01,2025,5,370.0,242.0,160.0,,541.0,273.0
155,2025-06-01,2025,6,379.0,239.0,161.0,,528.0,252.0
156,2025-07-01,2025,7,357.0,357.0,144.0,,569.0,299.0
157,2025-08-01,2025,8,395.0,382.0,150.0,,546.0,313.0
158,2025-09-01,2025,9,354.0,348.0,152.0,,545.0,297.0
159,2025-10-01,2025,10,378.0,367.0,166.0,,556.0,306.0
160,2025-11-01,2025,11,372.0,341.0,162.0,,571.0,273.0
